Team,Bracket,Comp_R32,Comp_S16,Comp_E8,Comp_F4,Comp_NatChamp,Comp_Winner,R32,S16,E8,F4,NatChamp,Winner
Kansas,"""South""",0.99,0.86,0.68,0.45,0.32,0.19,98.3,90.9,79.8,66.6,49.2,24.6
Oregon,"""West""",0.98,0.72,0.44,0.23,0.07,0.03,97.9,84.9,49.6,22.4,7.4,3.4
Mich St,"""MidWest""",0.95,0.78,0.59,0.34,0.17,0.09,97.9,91.2,81,61.9,38.5,22.4
UNC,"""East""",0.98,0.91,0.61,0.44,0.26,0.15,97.6,91.2,61.4,48.8,26.2,14.9
Oklahoma,"""West""",0.96,0.82,0.53,0.32,0.14,0.07,97.5,89.4,65,42.4,16.3,6.2
UVA,"""MidWest""",0.98,0.8,0.52,0.3,0.17,0.1,97.3,88.3,68,22.3,9.6,4.6
Villanova,"""South""",0.96,0.77,0.47,0.22,0.13,0.06,96.6,77.2,46.5,11.9,6.5,2.5
Xavier,"""East""",0.94,0.6,0.29,0.1,0.04,0.02,95.6,73,36.9,9.5,3.3,1.4
Kentucky,"""East""",0.93,0.61,0.25,0.16,0.08,0.04,94,67.3,26.5,19.4,9,5.2
Texas A & M,"""West""",0.88,0.55,0.24,0.12,0.05,0.02,93,66.5,23.1,12.4,3.3,1.1
Duke,"""West""",0.85,0.54,0.26,0.12,0.04,0.02,92.3,61.5,32.4,14,5.1,2.2
Miami,"""South""",0.86,0.35,0.14,0.05,0.02,0.01,92.2,57.9,29.1,5.9,2.5,0.9
WV,"""East""",0.85,0.63,0.4,0.16,0.07,0.03,91.5,66.5,40.4,11,3.5,1.5
Utah,"""MidWest""",0.87,0.5,0.15,0.05,0.02,0.01,89.9,51.9,7.8,3.3,1.1,0.4
Purdue,"""MidWest""",0.84,0.52,0.24,0.13,0.06,0.03,87.8,49.9,13.7,3,1,0.5
Indiana,"""East""",0.88,0.36,0.11,0.06,0.03,0.01,87,28.4,7.9,4.3,1.6,0.9
Maryland,"""South""",0.79,0.43,0.13,0.06,0.03,0.01,85.4,54.6,8.9,5.1,2.4,0.9
Iowa State,"""MidWest""",0.84,0.4,0.15,0.06,0.03,0.01,84.8,42.9,11.8,2.9,1,0.4
Cal,"""South""",0.86,0.48,0.11,0.04,0.02,0.01,80.7,36.5,5.1,2.5,1,0.3
Baylor,"""West""",0.61,0.27,0.13,0.06,0.02,0.01,80.4,32.5,11.9,2.8,0.7,0.2
Notre Dame,"""East""",0.66,0.22,0.1,0.03,0.01,0,78.8,25.8,11.4,2.3,0.8,0.4
Arizona,"""South""",0.5,0.31,0.14,0.06,0.04,0.02,74.2,31.8,13.1,2.3,1,0.5
Uconn,"""South""",0.64,0.1,0.05,0.02,0.01,0,72.1,6.6,4,2.3,1.3,0.8
Texas,"""West""",0.7,0.33,0.13,0.06,0.02,0.01,67.3,22.5,5.8,1.9,0.5,0.3
Wisconsin,"""East""",0.63,0.27,0.11,0.03,0.01,0,64.6,18.4,6.6,1.4,0.6,0.3
Butler,"""MidWest""",0.67,0.15,0.06,0.02,0.01,0,64,7.1,3.1,0.8,0.3,0.1
Providence,"""East""",0.62,0.06,0.02,0.01,0,0,61.5,5,1.6,0.6,0.2,0.1
Iowa,"""South""",0.72,0.19,0.09,0.03,0.02,0.01,60.2,15.2,6,1.1,0.4,0.2
VCU,"""West""",0.73,0.14,0.06,0.02,0.01,0,57.9,5.2,1.8,0.5,0.1,0.1
Cincinnati,"""West""",0.61,0.18,0.08,0.03,0.01,0,53.9,7.6,2.1,0.6,0.2,0.1
Seton Hall,"""MidWest""",0.4,0.17,0.05,0.02,0.01,0,53.3,26.6,4.1,1.7,0.6,0.3
Dayton,"""MidWest""",0.52,0.11,0.05,0.02,0,0,51.6,3.6,1.5,0.5,0.2,0.1
Syracuse,"""MidWest""",0.48,0.1,0.04,0.01,0,0,48.4,4.1,2,0.9,0.4,0.2
Gonzaga,"""MidWest""",0.6,0.31,0.09,0.03,0.01,0.01,46.7,19,2.5,1,0.4,0.2
Saint Joes,"""West""",0.39,0.09,0.04,0.01,0,0,46.1,6.6,2.2,0.5,0.1,0.1
Oregon State,"""West""",0.27,0.03,0.01,0,0,0,42.1,4.1,1.5,0.4,0.1,0.1
Temple,"""South""",0.28,0.04,0.01,0,0,0,39.8,6.3,1.5,0.3,0.1,0.1
USC,"""East""",0.38,0.03,0.01,0,0,0,38.5,2.5,0.8,0.4,0.2,0.1
Texas Tech,"""MidWest""",0.33,0.05,0.01,0,0,0,36,3.4,1.3,0.4,0.1,0.1
Pitt,"""East""",0.37,0.13,0.05,0.01,0,0,35.4,6.9,1.7,0.4,0.1,0.1
N Iowa,"""West""",0.3,0.1,0.03,0.01,0,0,32.7,8.7,1.5,0.5,0.1,0.1
Colorado,"""South""",0.36,0.04,0.02,0,0,0,27.9,1.6,0.7,0.3,0.1,0.1
Wich St,"""South""",0.5,0.32,0.15,0.06,0.04,0.02,25.8,8.3,2.5,0.5,0.2,0.1
Michigan,"""East""",0.19,0.05,0.02,0,0,0,21.2,4.5,1.4,0.4,0.2,0.1
Yale,"""West""",0.39,0.14,0.04,0.01,0,0,19.6,3.9,0.8,0.3,0.1,0.1
Hawaii,"""South""",0.14,0.03,0,0,0,0,19.3,5.3,0.7,0.3,0.1,0.1
Iona,"""MidWest""",0.16,0.03,0.01,0,0,0,15.2,3.9,0.6,0.2,0.1,0
SD State,"""South""",0.21,0.06,0.01,0,0,0,14.6,3.6,0.4,0.1,0.1,0
Chattanooga,"""East""",0.12,0.02,0,0,0,0,12.8,1.9,0.5,0.2,0.1,0
AR-Little Rock,"""MidWest""",0.16,0.05,0.01,0,0,0,12.2,3.3,0.7,0.3,0.1,0.1
Fresno State,"""MidWest""",0.13,0.03,0,0,0,0,10.1,2.5,0.4,0.2,0.1,0
SF Austin,"""East""",0.15,0.06,0.02,0,0,0,8.5,3.2,0.7,0.2,0.1,0.1
Buffalo,"""South""",0.14,0.02,0,0,0,0,7.8,2.1,0.4,0.1,0.1,0
UNC Wilmington,"""West""",0.15,0.05,0.01,0,0,0,7.7,2.1,0.4,0.1,0.1,0
Green Bay,"""West""",0.12,0.03,0.01,0,0,0,7,2.4,0.5,0.2,0.1,0.1
Stony Brook,"""East""",0.07,0.02,0,0,0,0,6,2.4,0.5,0.2,0.1,0.1
Weber State,"""East""",0.06,0.01,0,0,0,0,4.4,1.6,0.9,0.2,0.1,0
UNC Asheville,"""South""",0.04,0.01,0,0,0,0,3.4,1.4,0.8,0.2,0.1,0
Hampton,"""MidWest""",0.02,0,0,0,0,0,2.7,1.2,0.8,0.6,0.3,0.2
CSU Bakersfield,"""West""",0.04,0.01,0,0,0,0,2.5,1.3,0.8,0.2,0.1,0
FGCU,"""East""",0.02,0,0,0,0,0,2.4,1.3,0.8,0.6,0.3,0.2
Mid Tennessee,"""MidWest""",0.05,0.01,0,0,0,0,2.1,1.1,0.8,0.2,0.1,0.1
Holy Cross,"""West""",0.01,0,0,0,0,0,2.1,1,0.6,0.5,0.2,0.1
Austin Peay,"""South""",0.01,0,0,0,0,0,1.7,0.9,0.7,0.5,0.4,0.2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,-205%,,,
